create_time	distance	time_offset	count	speed	calorie
1534562093.543	32.86	UTC-0500	46	1.25	1.36
1534199699.839	9.09	UTC-0400	9	2.7222223	0.58
1534978498.19	81.56	UTC-0300	126	1.5833334	4.07
1534914917.754	78.69	UTC-0300	112	1.3115001	3.36
1535004899.565	84.060005	UTC-0300	117	1.4166667	3.51
1534222767.961	15.56	UTC-0500	20	1.7222223	0.71
1532484886.506	61.27	UTC-0300	93	1.3333334	2.76
1534725980.563	74.9	UTC-0300	107	1.2483333	3.21
1531246522.59	16.1	UTC-0300	23	1.25	0.69
1533340496.855	14.8	UTC-0300	21	1.3055556	0.63
1532564618.013	59.26001	UTC-0300	85	1.231891	2.5899997
1531545296.289	61.81	UTC-0300	58	3.5555556	3.68
1533423304.251	35.4	UTC-0300	48	1.5172683	1.3599999
1532065780.889	81.08	UTC-0300	117	1.3513333	3.51
1534408496.189	88.1	UTC-0500	123	1.4683334	3.69
1533783292.988	15.74	UTC-0400	21	1.6944444	0.63
1533007430.277	36.77	UTC-0300	53	1.25	1.59
1533711113.621	12.69	UTC-0400	17	1.7777778	0.5
1530786897.934	46.87	UTC-0600	104	1.25	3.09
1534984340.038	6.51	UTC-0300	9	1.25	0.26
1530782856.331	67.26	UTC-0600	96	1.4722222	3.13
1531113137.813	74.3	UTC-0300	107	1.2383333	3.21
1534482702.034	74.88	UTC-0500	106	1.3055556	3.18
1532495365.842	78.61	UTC-0300	110	1.3888888	3.3
1534489622.09	46.71	UTC-0500	68	1.1666666	2.05
1534140360.197	78.579956	UTC-0400	112	1.3096659	3.3599973
1531260404.208	77.23	UTC-0300	98	1.75	3.55
1531276320.243	66.590004	UTC-0300	95	1.3007892	2.8899999
1531534374.364	72.56	UTC-0300	106	1.2093334	3.25
1531020582.399	43.71	UTC-0600	64	1.1388888	1.92
1531965008.812	5.24	UTC-0300	8	1.1944444	0.25
1533587737.369	27.75	UTC-0300	40	1.2538255	1.2
1532911564.94	6.62	UTC-0300	10	1.1666666	0.31
1531964535.656	9.66	UTC-0300	10	3.4035208	0.47
1531037709.365	15.37	UTC-0600	21	1.4444444	0.61
1533101695.512	72.76	UTC-0300	105	1.2126667	3.15
1534236736.474	8.54	UTC-0500	12	1.5277778	0.36
1530856992.726	30.58	UTC-0600	43	1.5	1.29
1533331863.014	80.2	UTC-0300	114	1.3366667	3.4199998
1530782856.275	71.32	UTC-0600	97	1.4722222	3.16
1531066456.822	11.96	UTC-0600	11	2.1388888	0.75
1533339628.113	12.84	UTC-0300	14	1.4721956	0.55999994
1533178732.708	56.46	UTC-0300	80	1.2798052	2.3899999
1533539126.014	64.39998	UTC-0300	86	1.8675468	2.6199992
